Id,Text,Target
2.90E+17,Argh.. I hate my life,1
2.90E+17,I'm good,0
2.90E+17,Enjoy my life,0
2.90E+17,RT : I do what I want,0
2.90E+17,My life is just a series of unfortunate fucked up events @margaretkuta @mwrighht,1
2.90E+17,Im tryna become better everyday I open my eyes.... Starting to really understand LIFE IS AMAZING,0
2.90E+17,RT : I hate how much I over-think at night,1
2.90E+17,RT @sydthekid_15: I just want to be genuinely happy,1
2.90E+17,My life is one big mess,1
2.90E+17,oh I have lol I just eventually get what I want though,0
2.90E+17,RT : I hate how much I over-think at night,1
2.90E+17,I swear this fucking shit for me,1
2.90E+17,yup i hate my life,1
2.90E+17,RT @_misterCT Being single Sucks... I ain't bout this life no more _,1
2.90E+17,I have the worst headache ever imaginable,1
2.90E+17,Why don't I have a life,1
2.90E+17,WHY DO I SUCK AT LIFE,1
2.90E+17,Having a broken finger for the rest of my life sucks,1
2.90E+17,I wish I can say I am happy,1
2.90E+17,I do what i want to,0
2.90E+17,"I wanted a change, lil nigga",1
2.90E+17,I wish.… I was different,1
2.90E+17,RT : My life is perfectly terrible,1
2.90E+17,Soo happy! With my life with you with everything!_ #couldntaskformore,0
2.90E+17,RT : i do what i want,0
2.90E+17,I love how I can only trust 2 people in my life❤ that's all I need,0
2.90E+17,"RT @Libras_R_Us: As a #Libra, I get revenge by living a great life",0
2.90E+17,RT : To stressed to see that I'm blessed,0
2.90E+17,I've never been so disappointed in my life,1
2.90E+17,I'm such a GOOD PERSON ❤❤ ! #SeriousTweet,0
2.90E+17,I do what I want,0
2.90E+17,RT : I ONLY ATTRACT WEIRD PEOPLE I HATE MY LIFE,1
2.90E+17,RT : I need more positive people in my life,1
2.90E+17,I love the way I feel around you,0
2.90E+17,I hate my life! Hahahah.,1
2.90E+17,Story of my pathetic life ___ http://t.co/cQ5jQMYF,1
2.90E+17,"So happy, I couldn't be any happier",0
2.90E+17,Life ain't always beautiful but I know I'll be fine,0
2.90E+17,lmao yeah I know sucks for me .. 😒😒😒,1
2.90E+17,I feel so stupid I could kill myself,1
2.90E+17,RT : I am so blessed & thankful,0
2.90E+17,I'm a good fucking girl sheesh,0
2.90E+17,I'm happy so Idc,0
2.90E+17,And I wouldn't change a thing,0
2.90E+17,RT @crazy_steve123: I'm sick of always feeling sad,1
2.90E+17,I'm in Love,0
2.90E+17,I'm a crazy ass depressed uglass lil girl.. Damn shame,1
2.90E+17,RT @Life_Affirming: I begin a new positive chapter in my life everyday. #affirmation,0
2.90E+17,But I'm still a good person so idc- hahaha,0
2.90E+17,I wouldn't change the past if I could,0
2.90E+17,Cause I'm the best,0
2.90E+17,I'm blessed,0
2.90E+17,LIFE is beautiful...i tend to live it to the fullest,0
2.90E+17,RT : My life is a joke,1
2.90E+17,I'm sad,1
2.90E+17,"I live a sad, sad life",1
2.90E+17,My life is so hard http://t.co/2stF6Yo2,1
2.90E+17,"I'm very proud of myself for remaining drug-free and excluding alcohol from my life, all together",0
2.90E+17,My life is so hard http://t.co/2stF6Yo2,1
2.90E+17,I feel good,0
2.90E+17,😓omg i know platforms for life but I have my days ok,0
2.90E+17,Talkin bout I'm black but I'm blessed.,0
2.90E+17,I feel like a good person,0
2.90E+17,Live my life with no regrets,0
2.90E+17,RT @tylerwhite_3: Damn right I love the life I live,0
2.90E+17,RT : I'm so happy,0
2.90E+17,So happy I have the friends I do.,0
2.90E+17,Young and I'm living shit. *dougies,1
2.90E+17,I have the worst headache ever,1
2.90E+17,I feel so good,0
2.90E+17,My life might I have sum ups and downs but the end of day I love my life. I wouldn't change a thing,0
2.90E+17,I know what I want.,0
2.90E+17,"RT @LaraJackilara13: I just want to be happy, just wanted to be happy",1
2.90E+17,I got that good love girl you didn't know,0
2.90E+17,I do what I want,0
2.90E+17,i want to be happy again,1
2.90E+17,RT : I feel like a disappointment to my parents,1
2.90E+17,I'm happy happy happy  __ #lovinglife,0
2.90E+17,RT @Bink_iEE: I'm Depressed,1
2.90E+17,I'm just blessed that's all,0
2.90E+17,I'm stressed,1
2.90E+17,Happy to be where I am at this point of time in my life,0
2.90E+17,RT @woahdangmaleny: I'm happy with my life and the people in it,0
2.90E+17,why can't life be great sometimes that all I ask,1
2.90E+17,I am so blessed. <3,0
2.90E+17,I'm so happy,0
2.90E+17,RT : I hate laying by myself,1
2.90E+17,I love the life I live,0
2.90E+17,please. I do what I want,0
2.90E+17,RT @DIDENOK: I love my job! I love my life! I love my God. Yes,0
2.90E+17,I hate being by myself,1
2.90E+17,I am one unhappy heat fan!! __,1
2.90E+17,I know I'm nothing,1
2.90E+17,I very much enjoy the single life as well,0
2.90E+17,RT : I Do What I Want,0
2.90E+17,I love life and life loves me back. :-) #DreamersWin http://t.co/FdpCOiR4,0
2.90E+17,Fuck my life! Ah,1
2.90E+17,Haha I have no life,1
2.90E+17,Im glad I have a good friend like you,0
2.90E+17,I'm always the bad guy,1
2.90E+17,!!!! RT : I LOVE my life because I LIVE my life.,0
2.90E+17,RT :  wait I have the best girlfriend  :),0
2.90E+17,RT : I love my life,0
2.90E+17,Only thing that i want is to be happy,1
2.90E+17,Starting to hate my life again,1
2.90E+17,I do what I want,0
2.90E+17,I'm hard to love,1
2.90E+17,I swear my life is filled with bad timing,1
2.90E+17,RT : I don't know why I feel so down on myself all the time,1
2.90E+17,I love me myself and I,0
2.90E+17,I'm good,0
2.90E+17,Life sucks and I hate everything,1
2.90E+17,"I guess, I suck at everything",1
2.90E+17,I'm so happy,0
2.90E+17,I have the worst headache ever omg,1
2.90E+17,My life sucks,1
2.90E+17,i'm fine,0
2.90E+17,"I have the best life ever. Excellent family, excellent friends. #blessed. Wouldn't change it for the world. #SoHappy",0
2.90E+17,I'm blessed in so many ways,0
2.90E+17,“: It's Been Two Sad Ass Days For Me.”why,1
